times (ms),x-accel,y-accel,z-accel
0.0,0.085571,-1.002472,-0.106659
27.160000003874302,0.042648,-0.998749,-0.120621
54.309999998658895,0.067596,-0.997543,-0.130157
81.4700000025332,0.08226,-0.993469,-0.141449
108.62000000476837,0.064041,-1.002228,-0.142166
135.8100000023842,0.055832,-1.001266,-0.134171
162.9700000025332,0.054123,-0.997498,-0.134552
190.11000000312924,0.056732,-0.997375,-0.141647
217.26000000536442,0.054977,-0.999023,-0.137711
244.4100000038743,0.062317,-1.000046,-0.137833
271.6000000014901,0.059891,-1.004349,-0.126282
298.75,0.055435,-1.002411,-0.13797
325.89000000059605,0.05629,-0.999847,-0.136963
353.0400000028312,0.055832,-0.990158,-0.144348
380.1900000087917,0.054672,-0.996658,-0.134354
407.3700000010431,0.053314,-0.996887,-0.145981
434.52000000327826,0.064728,-0.999008,-0.136185
461.67000000178814,0.054276,-0.995712,-0.138596
488.8100000061095,0.054199,-0.999237,-0.135574
515.9700000025332,0.062637,-1.000824,-0.145416
543.1499999985099,0.05217,-0.998734,-0.137283
570.3000000044703,0.053192,-0.997604,-0.143967
597.4500000029802,0.053116,-0.995026,-0.141983
624.6000000014901,0.054276,-1.003448,-0.138031
651.75,0.053528,-0.997177,-0.147919
678.9400000050664,0.051071,-1.001068,-0.142456
706.0900000035763,0.053787,-0.998352,-0.143173
733.2400000020862,0.054016,-1.003815,-0.143539
760.3900000043213,0.05307,-1.000122,-0.14743
787.5500000007451,0.04538,-1.007904,-0.145813
814.7300000041723,0.053482,-0.998901,-0.157028
841.8800000026822,0.053772,-1.003845,-0.149857
869.0300000011921,0.051193,-0.995361,-0.143677
896.179999999702,0.053726,-0.992767,-0.143112
923.3300000056624,0.053589,-0.998169,-0.136581
950.5100000016391,0.053574,-0.997665,-0.135086
977.6699999980628,0.053497,-0.99585,-0.133881
1004.8200000040233,0.037338,-0.998917,-0.149445
1031.9799999967217,0.040451,-1.005325,-0.143112
1059.1300000026822,0.052002,-1.001236,-0.154663
1086.3200000040233,0.052673,-0.989182,-0.156616
1113.4700000025332,0.041733,-1.004852,-0.147415
1140.620000001043,0.045959,-0.997086,-0.154724
1167.780000001192,0.045593,-1.00386,-0.134048
1194.9300000034273,0.044617,-0.999619,-0.156509
1222.1200000047684,0.046432,-0.994125,-0.16684
1249.2700000032783,0.049377,-1.004837,-0.169022
1276.4200000017881,0.054855,-1.017609,-0.177719
1303.5700000040233,0.051544,-0.935394,-0.379227
1330.7300000041723,0.059464,-0.970154,-0.124847
1357.9200000017881,0.087357,-1.043503,0.064011
1385.070000000298,0.051666,-1.021957,0.096207
1412.2199999839067,-0.019882,-1.017578,-0.007797
1439.3699999973178,0.046143,-1.015808,-0.031845
1466.5200000032783,0.072586,-1.001587,-0.06868
1493.7000000029802,0.055679,-1.00322,-0.077621
1520.8500000052154,0.041489,-1.015213,-0.061096
1548.0000000037253,0.034378,-1.014801,-0.024689
1575.1500000022352,0.039642,-1.005249,-0.028748
1602.2900000028312,0.040009,-1.011703,-0.037155
1629.4800000041723,0.033783,-1.016556,-0.032135
1656.6300000026822,0.041962,-1.022217,-0.008392
1683.7800000086427,0.046448,-1.004944,0.006393
1710.929999999702,-0.002792,-1.026703,0.001251
1738.0800000019372,-0.013092,-1.043839,0.011047
1765.2699999958277,0.020813,-1.029419,0.02005
1792.4200000017881,0.117447,-1.035385,0.098618
1819.5699999965727,0.376694,-1.09935,0.203522
1846.7200000062585,0.392395,-1.063614,0.320953
1873.870000012219,0.053589,-1.040314,0.159485
1901.0600000061095,-0.154068,-0.908325,0.133011
1928.2100000046194,-0.192337,-0.833221,0.062302
1955.359999999404,-0.193893,-0.801865,0.066269
1982.5100000016391,-0.20224,-0.863892,0.084259
2009.6700000017881,-0.116821,-1.025986,0.088806
2036.859999999404,-0.036346,-1.065369,0.02359
2064.009999997914,0.022034,-1.02832,0.001282
2091.160000000149,-0.012772,-1.139587,0.042419
2118.310000002384,-0.179565,-1.023163,-0.150421
2145.460000000894,-0.169968,-1.099609,-0.04567
2172.510000001639,0.008575,-1.0905,0.170227
2199.6600000038743,0.202774,-0.963272,0.297989
2226.810000002384,0.274963,-0.900574,0.249603
2253.970000002533,0.085815,-0.740875,0.193115
2281.120000001043,0.078537,-0.827942,0.079498
2308.310000002384,-0.555573,-1.056747,-0.126282
2335.4600000046194,-0.579559,-1.177002,-0.321793
2362.609999999404,-0.295059,-1.087631,-0.12442
2389.7600000053644,-0.027069,-1.086716,0.231476
2416.910000000149,-0.193069,-1.030304,0.331238
2444.0900000035763,-0.327286,-0.988144,0.037445
2471.2500000037253,-0.121567,-0.996628,-0.046585
2498.400000002235,0.102295,-1.00174,0.080856
2525.5500000044703,-0.025162,-1.011459,0.086609
2552.7000000029802,-0.190247,-0.992737,-0.019348
2579.8800000064075,-0.099304,-1.034515,0.071457
2607.030000001192,-0.03598,-1.021103,0.131165
2634.1900000050664,-0.09671,-1.008484,0.05014
2661.339999999851,-0.084366,-1.000717,-0.001953
2688.490000002086,-0.030792,-1.024231,0.010513
2715.6800000034273,-0.017548,-0.991806,0.1026
2742.8300000056624,-0.044037,-1.014221,0.081055
2769.980000000447,-3.05E-4,-0.994751,0.067307
2797.130000002682,-0.01947,-1.004807,7.93E-4
2824.280000001192,-0.030197,-0.994263,-0.027115
2851.459999989718,0.024887,-0.963943,-0.005814
2878.609999999404,0.022354,-1.006531,0.004227
2905.760000001639,-0.010666,-0.999084,0.03183
2932.9100000038743,0.002548,-0.985748,0.04982
2960.050000000745,-0.027496,-1.03688,-0.008163
2987.240000002086,0.017456,-0.994476,0.052109
3014.390000000596,-0.004532,-1.026611,-0.007126
3041.539999999106,-0.028305,-1.036819,-0.029099
3068.690000001341,-0.0979,-1.067627,0.078079
3095.8400000035763,-0.042572,-0.983475,0.008148
3123.0300000049174,0.026596,-0.99408,-0.053513
3150.1699999906123,-0.002869,-1.009537,0.011963
3177.3200000040233,-0.040283,-0.993484,0.001053
3204.470000002533,0.03447,-1.006668,0.012085
3231.6200000047684,0.033783,-0.991638,0.00325
3258.810000002384,-0.005432,-0.955292,-0.077576
3285.960000000894,0.100159,-1.061371,0.034012
3313.1100000031292,0.034149,-1.01889,0.107117
3340.260000001639,-0.081039,-1.029282,-0.046173
3367.4100000038743,0.057419,-1.009689,-0.002457
3394.6000000052154,0.02594,-0.999786,-0.051376
3421.7500000037253,0.033707,-1.022018,0.034897
3448.900000002235,0.036255,-1.006607,-5.95E-4
3476.050000000745,0.032257,-1.008209,-0.04805
3503.2000000029802,0.047562,-0.994949,-0.013229
3530.390000000596,0.060089,-1.014053,0.036484
3557.540000002831,0.084045,-1.007843,0.046692
3584.690000001341,0.093674,-1.006393,0.022614
3611.85000000149,0.079514,-1.022232,0.033173
3639.0000000037253,0.05191,-1.001511,0.028061
3666.1899999938905,0.053055,-1.003601,-0.009109
3693.3400000035763,0.090073,-1.016632,0.02597
3720.490000002086,0.090164,-0.99826,0.041153
3747.640000000596,0.080246,-1.012131,0.025757
3774.790000002831,0.055679,-1.016373,0.004288
3801.980000000447,0.073105,-1.024338,0.027527
3829.130000002682,0.151566,-1.016388,0.118988
3856.269999999553,0.163315,-1.030167,0.119415
3883.420000001788,0.176483,-1.037231,0.123322
3910.570000000298,0.169373,-1.036331,0.139481
3937.760000001639,0.19429,-1.048096,0.210358
3964.9100000075996,0.187714,-1.068024,0.118713
3992.0600000098348,0.188629,-1.10527,0.100067
4019.2100000046194,0.172684,-1.126282,0.20665
4046.359999999404,0.165985,-1.114441,0.407379
4073.5499999970198,0.0793,-1.287888,0.154724
4100.690000005066,0.065521,-1.348984,0.151062
4127.85000000149,0.144653,-1.23912,0.077194
4154.990000002086,0.666794,-1.358139,0.353745
4182.1399999931455,0.623932,-1.191269,0.05191
4209.329999987036,0.512482,-0.687668,0.182129
