time(ms), Accel (x), Accel (y), Accel (z)
13473.0, -0.6682105, 10.483001, -1.6765138
13580.0, -0.45984375, 10.490186, -1.8872755
13684.0, -0.4382886, 10.37762, -1.5807129
13788.0, -0.51971924, 10.564431, -1.8609302
13891.0, 0.30177248, 10.41594, -1.7627344
13995.0, -0.028740235, 10.475816, -1.9399658
14101.0, -0.08861572, 10.44468, -1.9399658
14205.0, 0.05269043, 10.37762, -1.8824854
14308.0, -0.09101075, 10.356065, -1.8250049
14411.0, -0.23950197, 10.566827, -1.8681153
14515.0, -0.1460962, 10.502161, -2.0142114
14620.0, -0.117355965, 10.35367, -1.9687061
14726.0, -0.23471193, 10.389595, -2.0166066
14830.0, -0.49337405, 10.365645, -2.189048
14934.0, 0.023950197, 10.480606, -2.2561085
15037.0, 0.040715333, 10.413546, -2.4501052
15142.0, 0.21076173, 10.284214, -2.3950195
15247.0, 0.047900394, 10.308165, -2.44292
15352.0, 0.16525635, 10.226734, -2.3974147
15457.0, 0.46463382, 10.279425, -2.193838
15560.0, -0.16765137, 10.432706, -2.5890162
15667.0, 0.3520679, 10.312955, -2.3662794
15770.0, -0.2562671, 10.413546, -2.4956105
15875.0, 0.46702883, 10.293795, -2.3974147
15979.0, 0.366438, 10.317744, -2.562671
16084.0, 0.28261232, 10.243499, -2.4716604
16189.0, 0.040715333, 10.34888, -2.3447242
16293.0, 0.2203418, 10.38241, -2.7399025
16399.0, -0.20357667, 10.358459, -2.0405567
16503.0, -1.4178516, 11.050621, 0.7807764

