time(ms), Accel (x), Accel (y), Accel (z)
13384.0, -0.8861573, 8.978929, 2.8452833
13488.0, -1.2741505, 9.074729, 2.1746778
13592.0, -0.8334668, 8.116721, 2.2321582
13696.0, -1.0106983, 9.766891, 2.5770411
13801.0, -0.045505375, 11.282937, 4.385281
13904.0, -0.42152345, 11.376344, 3.1111305
14007.0, 1.0657837, 9.922566, 3.297942
14111.0, -1.1280543, 8.801697, 3.3051271
14216.0, -1.22625, 7.311995, 3.5853443
14320.0, 0.08861572, 10.653048, 2.5004005
14425.0, -2.059717, 15.541283, 4.382886
14528.0, -1.5974782, 14.235996, 3.767366
14634.0, -0.6490503, 10.97877, 1.4825171
14739.0, -0.64186525, 8.897498, 1.5998731
14843.0, -0.6945557, 7.8029737, 1.1567944
14947.0, -0.63707525, 8.624466, 2.0980372
15053.0, -0.3784131, 9.524993, 2.9985645
15158.0, 1.0825489, 14.839541, 4.2080493
15264.0, 1.4250367, 10.4494705, 1.3124708
15368.0, -1.1927198, 7.606582, 3.2668068
15471.0, -2.0932472, 8.382568, 3.8320315
15576.0, 0.39996827, 12.942686, 2.6297317
15681.0, 0.4406836, 12.056529, 4.2128396
15785.0, -0.855022, 12.846886, 3.5015187
15890.0, 0.5676197, 11.563155, 1.7771046
15994.0, -0.06466553, 10.130933, 1.5615528
16098.0, -0.014370117, 8.586145, 1.8345851
16201.0, -1.0106983, 7.486831, 2.7494826
16303.0, -2.2656887, 8.614885, 3.288362
16408.0, -0.30177248, 13.400135, 4.2248144
16513.0, 3.163821, 11.445799, -0.7161109
16618.0, -1.1807446, 9.256751, 1.3603711
16723.0, -2.4069948, 8.866363, 2.8524685
16828.0, -0.37122804, 8.47837, 3.8368216
16930.0, -0.15088624, 12.619358, 2.43813
17035.0, -0.47181886, 13.675562, 4.416416
17140.0, 0.33290774, 10.439891, 1.9399658
17244.0, -1.1088941, 11.66135, 1.3052857
17349.0, -0.4526587, 9.2328005, 1.2621753
17456.0, -0.028740235, 8.449629, 0.69216067
17559.0, -1.2621753, 9.216036, 1.5663428
17662.0, -1.5926881, 12.80138, 2.6225464
17766.0, -0.9316626, 13.203743, 4.1984696
17871.0, 1.8729054, 10.94524, 0.7544312
17975.0, 0.2203418, 9.048384, 2.454895
18078.0, -2.2728736, 9.2328005, 3.163821
18183.0, 0.09101075, 9.0076685, 3.0033545
18288.0, -0.6849756, 12.078084, 2.8141482
18395.0, -1.1855347, 15.82629, 4.1074586
18501.0, 0.16046631, 9.613608, 2.059717
18604.0, -0.79993653, 10.499766, 1.5328126
18708.0, -0.5005591, 8.897498, 1.2358302
18812.0, -0.8933423, 7.8412943, 1.2861255
18916.0, -1.5615528, 10.590776, 2.44292
19018.0, -0.2921924, 14.489869, 4.2343946
19122.0, 0.73048097, 8.897498, 3.5110989
19230.0, 0.22752686, 11.369158, 1.2334352
19335.0, 0.05269043, 8.962164, 3.1997461
19441.0, -2.090852, 7.9897857, 2.787803
19545.0, -1.3747413, 9.472302, 3.6188745
19648.0, 1.0130934, 12.082874, 3.3650026
19751.0, 0.07903565, 13.028907, 3.04407
19854.0, -1.5064673, 10.626702, 2.3902297
19957.0, -1.3699512, 8.727451, 2.2417383
20064.0, 0.011975098, 9.510623, 0.6011499
20169.0, 0.05508545, 9.208851, 1.1424243
20273.0, -1.2334352, 9.958491, 2.3926246
20379.0, -1.0274634, 13.819263, 3.6260598
20486.0, 0.90052736, 10.063872, 4.3158255
20590.0, 1.0514137, 10.461446, 2.2896388
20694.0, -0.1460962, 8.657996, 2.7638526
20799.0, -1.094524, 8.53106, 2.9794044
20902.0, -0.17962648, 9.594449, 3.5039136
