time(ms),Accel (x),Accel (y),Accel (z)
14396.0,-4.976851,-8.111932,2.0525317
14503.0,-1.2334352,-8.5119,5.4989653
14609.0,-2.2345533,-8.986114,0.75203615
14713.0,-2.8812087,-8.121511,2.1555176
14817.0,-2.799778,-7.9706254,2.672842
14919.0,-2.8428884,-8.0999565,2.1722827
15024.0,-3.7074904,-7.599397,2.4261549
15130.0,-3.1231055,-8.634046,1.587898
15250.0,-2.8692336,-8.238868,1.575923
15355.0,-4.5601172,-7.668853,2.7494826
15462.0,-3.6332448,-8.032896,2.186653
15567.0,-3.4871485,-8.1143265,1.5447876
15671.0,-3.6907253,-8.339458,1.4849122
15772.0,-3.6404297,-8.200547,1.4394068
15877.0,-6.823411,-6.6653395,1.223855
15980.0,-5.7767873,-9.968072,4.720584
16085.0,0.85023195,-10.159674,3.4919386
16190.0,-10.518927,-5.6282964,2.4788454
16296.0,-3.0943654,-7.999366,-11.05541
16400.0,-6.7395854,-15.522122,5.350474
16506.0,0.6706055,-10.686578,10.095008
16610.0,6.205496,-5.357659,8.945398
16714.0,4.5792775,-5.5636306,9.788445
16818.0,-6.543194,-5.3025737,10.518927
16920.0,-2.1722827,-3.544629,4.9145803
17025.0,-1.4130616,-0.87897223,3.5566041
17130.0,0.13172609,-1.1927198,8.073611
17234.0,0.9532178,-0.13651612,3.9254372
17340.0,5.745652,2.1579127,7.0198026
17444.0,2.4093897,1.7555494,10.116563
17550.0,0.72569096,3.4919386,9.958491
17653.0,0.11496094,3.5973196,9.553733
17762.0,0.41912845,2.811753,16.025076

