time(ms), Accel (x), Accel (y), Accel (z)
13443.0, -0.045505375, 10.487791, -1.8441651
13548.0, -2.047742, 10.490186, -1.5376027
13653.0, -0.91010743, 11.074571, -1.9734962
13758.0, -3.300337, 16.99985, -4.3637257
13863.0, 4.5625124, 7.053333, -0.06945557
13968.0, 0.50534916, 2.8548634, 2.311194
14073.0, 8.011341, 9.960887, -3.0776002
14176.0, -3.915857, 14.722186, -1.3220508
14280.0, 4.373306, 11.191927, -3.906277
14384.0, -5.5780005, 21.040247, 0.011975098
14486.0, 3.8056862, 10.308165, -2.308799
14589.0, 1.0130934, 10.202784, -3.4943337
14695.0, 0.4382886, 10.370435, -2.0166066
14800.0, 0.9316626, 10.655442, -1.7387843
14904.0, -0.7376661, 10.195599, -2.9794044
15010.0, -2.3950195, 14.00368, -2.179468
15114.0, 1.1448194, 14.398858, -2.818938
15217.0, 3.187771, 2.8476784, -1.0202783
15322.0, 6.8497562, 6.710845, -1.6765138
15424.0, 1.0178833, 13.855188, -1.101709
15528.0, 3.3314724, 12.700789, -2.6321266
15631.0, 0.8669971, 9.09868, -11.805052
15735.0, 4.888235, 8.988508, 3.4440382
15838.0, -1.331631, 10.37283, -0.7089258
15942.0, -0.5460645, 10.332115, -2.42855
16046.0, 0.79993653, 10.439891, -2.2920337
16151.0, -1.3867164, 10.588382, -2.3495142
16255.0, 0.8382569, 12.147539, -2.9410841
16359.0, -4.4906616, 16.647781, -6.006709
16462.0, 12.971426, 6.09293, 0.70174074
16565.0, 7.1611085, 4.258345, -5.024751
16669.0, 5.254673, 8.229287, -0.32332766
16772.0, 3.4967287, 13.955779, -3.9374123
16877.0, 2.5075855, 10.835069, -2.799778
16982.0, -20.484602, 23.583757, -2.2177882
17087.0, -1.3819263, 10.985955, -3.9637575
17192.0, -2.0285816, 10.298584, -1.2166699
17295.0, -0.9053174, 10.609937, -2.1291726
17399.0, -0.26105714, 10.542876, -2.2489235
17501.0, -1.3483961, 10.629097, -2.7854078
17605.0, -0.46702883, 14.880257, -4.493057
17710.0, -4.0882983, 11.850557, 2.7159522
17814.0, 3.2021413, 4.2176294, -1.1448194
17920.0, 1.6166383, 7.199429, 1.5352076
18024.0, 4.164939, 14.463524, -3.0608351
18129.0, 2.7638526, 13.32589, -3.9901028
18234.0, -12.77743, 13.333075, -14.60962
18339.0, 1.3675562, 9.78605, -0.5125342
18443.0, -2.4045997, 10.209969, 0.05748047
18550.0, -1.0394385, 10.540482, -1.1975098
18655.0, -0.1101709, 10.427916, -2.095642
18761.0, -0.7376661, 11.208692, -1.8824854
18864.0, -0.28261232, 14.3749075, -5.0894165
18968.0, -5.319339, 12.121195, 1.5040723
19071.0, 11.096126, 4.1984696, -4.655918
19176.0, -2.1195924, 3.4775686, 2.4956105
19279.0, 7.647298, 8.047266, -3.0536501
19385.0, -0.5748047, 15.055094, -1.4729371
19488.0, 5.4031644, 11.211087, -5.865403
19591.0, 4.368516, 8.830438, 6.3779373
19697.0, 4.3397756, 10.181229, -2.9937747
19801.0, 4.2751102, 10.585987, -3.8320315
19907.0, 0.9508228, 10.35367, -1.8824854
20012.0, -0.26105714, 11.074571, -2.0812721
20119.0, 0.30177248, 13.1366825, -2.5818312
20224.0, -9.924961, 17.339943, -6.7850904
20328.0, 9.72378, 8.53585, -1.3986914
20432.0, 6.1695704, 0.038320314, -1.6381935
20534.0, 1.6094532, 1.331631, -1.5208374
20639.0, 3.0943654, 15.998732, -5.0894165
